date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:57	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:31:54%20GMT	https://i.imgur.com/mtPpcRa.png	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/mtPpcRa.18.delayed	(from http://paydaymods.com/mods/)
14:31:59	23848/23848	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:31:55%20GMT	http://paydaymods.com/mods/287/additionalpocohudtrackers	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/287/additionalpocohudtrackers.html	(from http://paydaymods.com/mods/)
14:32:01	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:31:57%20GMT	https://i.imgur.com/6uzBMii.png	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/6uzBMii.1a.delayed	(from http://paydaymods.com/mods/)
14:32:01	8430/8430	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:31:58%20GMT	http://paydaymods.com/mods/142/ADS_FM	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/142/ADS_FM.html	(from http://paydaymods.com/mods/)
14:32:03	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:31:59%20GMT	http://i.imgur.com/wHNECIn.jpg	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/wHNECIn.1c.delayed	(from http://paydaymods.com/mods/)
14:32:04	8547/8547	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:00%20GMT	http://paydaymods.com/mods/663/AM	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/663/AM.html	(from http://paydaymods.com/mods/)
14:32:05	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:32:02%20GMT	https://i.imgur.com/0BUB9Ob.jpg	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/0BUB9Ob.1e.delayed	(from http://paydaymods.com/mods/)
14:32:06	13244/13244	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:02%20GMT	http://paydaymods.com/mods/640/TP	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/640/TP.html	(from http://paydaymods.com/mods/)
14:32:06	10007/10007	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:03%20GMT	http://paydaymods.com/mods/680/avs2	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/680/avs2.html	(from http://paydaymods.com/mods/)
14:32:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202020%2014:32:04%20GMT	https://imgur.com/GM2mRfA.png	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/imgur.com/GM2mRfA.21.delayed	(from http://paydaymods.com/mods/)
